time,OE20-601b-2 ||| supplyAirFlowRate,OE20-601b-2 ||| supplyDamperPosition,OE20-601b-2 ||| returnAirFlowRate,OE20-601b-2 ||| returnDamperPosition,OE20-601b-2 ||| valvePosition,OE20-601b-2 ||| shadePosition,OE20-601b-2 ||| supplyAirTemperature,OE20-601b-2 ||| supplyWaterTemperature,OE20-601b-2 ||| globalIrradiation,OE20-601b-2 ||| outdoorTemperature,OE20-601b-2 ||| numberOfPeople,OE20-601b-2 ||| adjacentIndoorTemperature_OE20-601b-1,OE20-601b-2 ||| adjacentIndoorTemperature_OE20-603-1,OE20-601b-2 ||| adjacentIndoorTemperature_OE20-603c-2,Supply damper ||| damperPosition,Exhaust damper ||| damperPosition,Space heater ||| supplyWaterTemperature,Space heater ||| waterFlowRate,Space heater ||| indoorTemperature,Valve ||| valvePosition,Temperature controller ||| actualValue,Temperature controller ||| setpointValue,CO2 controller ||| actualValue,OE20-601b-2| temperature sensor ||| indoorTemperature,OE20-601b-2| Valve position sensor ||| valvePosition,OE20-601b-2| Damper position sensor ||| damperPosition,OE20-601b-2| CO2 sensor ||| indoorCo2Concentration,OE20-601b-2| Heating meter ||| Energy,Heating system| Supply water temperature schedule ||| outdoorTemperature
2022-01-06 03:20:00,0.0,0.0,0.0,0.0,0.0,,21,60.52,0.0,-1.4,0,,,,0.0,0.0,"[60.52, 20.843400943165868, 20.84340094316297, 20.843400943161523, 20.843400943160635, 20.84340094316005, 20.84340094315963, 20.843400943159335, 20.8434009431591, 20.84340094315893]",0.0,20.82000901189167,0.0,20.82000901189167,20,500.09527167591386,20.82000901189167,0.0,0.0,500.09527167591386,7.219342286344968,-1.4
2022-01-06 03:30:00,0.0,0.0,0.0,0.0,0.0,,21,60.66,0.0,-1.2,0,,,,0.0,0.0,"[60.66, 20.83410195857196, 20.834101958569885, 20.834101958568855, 20.834101958568215, 20.8341019585678, 20.834101958567498, 20.834101958567288, 20.83410195856712, 20.834101958566997]",0.0,20.81080312107224,0.0,20.81080312107224,20,500.0887495318491,20.81080312107224,0.0,0.0,500.0887495318491,7.219665167754428,-1.2
2022-01-06 03:40:00,0.0,0.0,0.0,0.0,0.0,,21,60.59,0.0,-1.3,0,,,,0.0,0.0,"[60.59, 20.824854215531783, 20.824854215530298, 20.824854215529562, 20.824854215529104, 20.824854215528806, 20.824854215528593, 20.824854215528443, 20.824854215528322, 20.824854215528237]",0.0,20.801683765021153,0.0,20.801683765021153,20,500.082673883165,20.801683765021153,0.0,0.0,500.082673883165,7.219986269943287,-1.3
2022-01-06 03:50:00,0.0,0.0,0.0,0.0,0.0,,21,60.59,0.0,-1.3,0,,,,0.0,0.0,"[60.59, 20.815663844923293, 20.81566384492223, 20.81566384492171, 20.815663844921378, 20.815663844921165, 20.815663844921012, 20.815663844920905, 20.81566384492082, 20.81566384492076]",0.0,20.792637142469175,0.0,20.792637142469175,20,500.0770141635135,20.792637142469175,0.0,0.0,500.0770141635135,7.2203053800338335,-1.3
2022-01-06 04:00:00,0.0,0.0,0.0,0.0,0.0,,21,60.52,0.0,-1.4,0,,,,0.0,0.0,"[60.52, 20.806527008258378, 20.806527008257618, 20.806527008257248, 20.80652700825701, 20.806527008256857, 20.806527008256747, 20.806527008256673, 20.80652700825661, 20.80652700825657]",0.0,20.783634436433204,0.0,20.783634436433204,20,500.0717418990693,20.783634436433204,0.0,0.0,500.0717418990693,7.220622631306902,-1.4
2022-01-06 04:10:00,0.0,0.0,0.0,0.0,0.0,,21,60.52,0.0,-1.4,0,,,,0.0,0.0,"[60.52, 20.79743640122659, 20.797436401226047, 20.79743640122578, 20.79743640122561, 20.7974364012255, 20.797436401225422, 20.79743640122537, 20.797436401225326, 20.797436401225294]",0.0,20.7746596588986,0.0,20.7746596588986,20,500.0668305652786,20.7746596588986,0.0,0.0,500.0668305652786,7.2209382773843815,-1.4
2022-01-06 04:20:00,0.0,0.0,0.0,0.0,0.0,,21,60.38,0.0,-1.6,0,,,,0.0,0.0,"[60.38, 20.788375927592927, 20.78837592759254, 20.78837592759235, 20.78837592759223, 20.78837592759215, 20.788375927592096, 20.788375927592057, 20.78837592759203, 20.788375927592003]",0.0,20.76567468524445,0.0,20.76567468524445,20,500.06225545341573,20.76567468524445,0.0,0.0,500.06225545341573,7.221252877163319,-1.6
2022-01-06 04:30:00,0.0,0.0,0.0,0.0,0.0,,21,60.38,0.0,-1.6,0,,,,0.0,0.0,"[60.38, 20.77932972549912, 20.779329725498847, 20.779329725498712, 20.779329725498627, 20.77932972549857, 20.77932972549853, 20.7793297254985, 20.77932972549848, 20.779329725498464]",0.0,20.756664240849204,0.0,20.756664240849204,20,500.0579935462739,20.756664240849204,0.0,0.0,500.0579935462739,7.22156698140268,-1.6
2022-01-06 04:40:00,0.0,0.0,0.0,0.0,0.0,,21,60.24,0.0,-1.8,0,,,,0.0,0.0,"[60.24, 20.770278752861593, 20.7702787528614, 20.7702787528613, 20.77027875286124, 20.770278752861202, 20.770278752861174, 20.77027875286115, 20.770278752861138, 20.770278752861124]",0.0,20.747601315495558,0.0,20.747601315495558,20,500.054023402367,20.747601315495558,0.0,0.0,500.054023402367,7.2218812512859225,-1.8
2022-01-06 04:50:00,0.0,0.0,0.0,0.0,0.0,,21,60.38,0.0,-1.6,0,,,,0.0,0.0,"[60.38, 20.761220103042657, 20.761220103042522, 20.76122010304245, 20.761220103042408, 20.761220103042376, 20.76122010304236, 20.76122010304234, 20.761220103042334, 20.761220103042323]",0.0,20.738523430307396,0.0,20.738523430307396,20,500.05032504805837,20.738523430307396,0.0,0.0,500.05032504805837,7.222195787737966,-1.6
