time,Outdoor environment ||| outdoorTemperature,Outdoor environment ||| globalIrradiation,OE20-601b-2 ||| indoorTemperature,OE20-601b-2 ||| indoorCo2Concentration,Supply damper ||| airFlowRate,Supply damper ||| damperPosition,Exhaust damper ||| airFlowRate,Exhaust damper ||| damperPosition,Space heater ||| outletWaterTemperature,Space heater ||| Power,Space heater ||| Energy,Valve ||| waterFlowRate,Valve ||| valvePosition,Temperature controller ||| inputSignal,CO2 controller ||| inputSignal,OE20-601b-2| temperature sensor ||| indoorTemperature,OE20-601b-2| Valve position sensor ||| valvePosition,OE20-601b-2| Damper position sensor ||| damperPosition,OE20-601b-2| CO2 sensor ||| indoorCo2Concentration,OE20-601b-2| Heating meter ||| Energy,OE20-601b-2| Occupancy schedule ||| scheduleValue,OE20-601b-2| Temperature setpoint schedule ||| scheduleValue,Heating system| Supply water temperature schedule ||| supplyWaterTemperatureSetpoint,Ventilation system| Supply air temperature schedule ||| scheduleValue
2022-01-05 06:40:00,2.2,0.0,20.919236783869565,543.3237765729507,0.0,0.0,0.0,0.0,"[20.933819150681348, 20.933819150681348, 20.933819150681348, 20.933819150681348, 20.933819150681348, 20.933819150681348, 20.933819150681348, 20.933819150681348, 20.933819150681348, 20.933819150681348]",1.212517616018032,0.002297946156893506,0.0,0.0,0.0,0.0,20.919236783869565,0.0,0.0,543.3237765729507,0.002297946156893506,3,20,58.96666666666666,21
2022-01-05 06:50:00,2.3,0.0,20.91333127161488,550.2925574550645,0.0,0.0,0.0,0.0,"[20.92797469667906, 20.92797469667906, 20.92797469667906, 20.92797469667906, 20.92797469667906, 20.92797469667906, 20.92797469667906, 20.92797469667906, 20.92797469667906, 20.92797469667906]",1.2175945838099083,0.0025008785875284905,0.0,0.0,0.0,0.0,20.91333127161488,0.0,0.0,550.2925574550645,0.0025008785875284905,3,20,58.824999999999996,21
2022-01-05 07:00:00,2.3,0.0,20.907469374593347,556.7842669260494,0.0,0.0,0.0,0.0,"[24.90587081606819, 21.340833048554753, 20.96613314942474, 20.926750673399535, 20.922611415765687, 20.922176363034406, 20.92213063723144, 20.92212583126447, 20.922125326137888, 20.92212527304704]",38.23374476298923,0.008873169381360029,0.0008189996403167889,0.040544536649345986,0.040544536649345986,0.0,20.907469374593347,0.040544536649345986,0.0,556.7842669260494,0.008873169381360029,3,21,58.824999999999996,21
2022-01-05 07:10:00,2.6,0.0,20.901721311733127,569.454668653603,0.0,0.0,0.0,0.0,"[30.134063957781223, 22.65186654137468, 21.22220014059558, 20.96834180656597, 20.924976671793374, 20.917731978200464, 20.916537823790453, 20.91634262705621, 20.91631088832735, 20.916305745066822]",95.35148566548808,0.024765083658941374,0.0013386026467417367,0.06626745775949192,0.06626745775949192,0.0,20.901721311733127,0.06626745775949192,0.0,569.454668653603,0.024765083658941374,5,21,63.32,21
2022-01-05 07:20:00,2.8,0.0,20.896163884550333,581.2576752751851,0.0,0.0,0.0,0.0,"[35.153227671929265, 24.918570465644553, 21.935769691736567, 21.158053456533846, 20.968117735553836, 20.923613673488447, 20.91346906531363, 20.911199948122373, 20.9106991059593, 20.910589607149955]",164.1511619095535,0.05212361064386696,0.0018856358924017936,0.09334831150503929,0.09334831150503929,0.0,20.896163884550333,0.09334831150503929,0.0,581.2576752751851,0.05212361064386696,5,21,63.46,21
2022-01-05 07:30:00,2.9,0.0,20.890842935070395,592.2526672497614,0.0,0.0,0.0,0.0,"[39.542505244945836, 27.88127336512997, 23.265262684545277, 21.651004147094238, 21.129834704898965, 20.970459825707703, 20.923553489967972, 20.91012693463761, 20.90636225511905, 20.905323019861942]",242.60781520252752,0.09255824651095487,0.0024587279336140966,0.12171920463436123,0.12171920463436123,0.0,20.890842935070395,0.12171920463436123,0.0,592.2526672497614,0.09255824651095487,5,21,63.53,21
2022-01-05 07:40:00,2.9,1.0,20.885762949474156,602.4949599466026,0.5460645649316607,0.45,0.5460645649316607,0.45,"[43.15257701887975, 31.14782657090727, 25.195568931539857, 22.579449185287935, 21.523201669806554, 21.122111375759484, 20.976569518940003, 20.925543384633215, 20.908122308696814, 20.902296778719673]",329.0697453179113,0.14740320406394009,0.0030566411533370992,0.15131886897708413,0.15131886897708413,0.45,20.885762949474156,0.15131886897708413,0.45,602.4949599466026,0.14740320406394009,5,21,63.53,21
2022-01-05 07:50:00,3.1,5.0,20.881030227057636,573.0334242468227,0.5460645649316607,0.45,0.5460645649316607,0.45,"[46.0767481753715, 34.3846618177464, 27.56237812563831, 23.982648558450904, 22.252416011675063, 21.467335662857217, 21.12816847545668, 20.987188361851743, 20.930360777331135, 20.908014205057185]",422.97871546515387,0.2178996566414657,0.0036772140491140464,0.1820402994610914,0.1820402994610914,0.45,20.881030227057636,0.1820402994610914,0.45,573.0334242468227,0.2178996566414657,5,21,63.67,21
2022-01-05 08:00:00,3.5,16.0,20.876856005284935,552.984253609593,0.5460645649316607,0.45,0.5460645649316607,0.45,"[48.47064641090843, 37.390533714716234, 30.142281915702412, 25.79059617617229, 23.362892393239694, 22.088072488803324, 21.450912834438977, 21.14505581589564, 21.003023275722963, 20.93885152379577]",523.9612860820447,0.30522653765513985,0.004316817824952688,0.2137038527204301,0.2137038527204301,0.45,20.876856005284935,0.2137038527204301,0.45,552.984253609593,0.30522653765513985,4,21,63.95,21
2022-01-05 08:10:00,3.6,24.0,20.873431810177863,573.1901641744138,0.5460645649316607,0.45,0.5460645649316607,0.45,"[50.34583790655979, 40.03145198844761, 32.714285286799985, 27.853171384620065, 24.81705035458259, 23.02152611402592, 22.00839382780362, 21.459121976030644, 21.17125947191564, 21.02467965968152]",629.5458928427239,0.4101508531289272,0.0049709281016708075,0.24608554958766377,0.24608554958766377,0.45,20.873431810177863,0.24608554958766377,0.45,573.1901641744138,0.4101508531289272,19,21,64.02,21
2022-01-05 08:20:00,3.6,41.0,20.870888949604705,585.4601607995431,0.5460645649316607,0.45,0.5460645649316607,0.45,"[51.80650787832208, 42.270759739567445, 35.11656313357247, 29.997616424227317, 26.50968758085661, 24.241101702987386, 22.826742640922713, 21.97751651954198, 21.48419271968058, 21.205776264604243]",737.7660240885202,0.5331118571436806,0.0056345832975832795,0.27893976720709307,0.27893976720709307,0.45,20.870888949604705,0.27893976720709307,0.45,585.4601607995431,0.5331118571436806,19,21,64.02,21
2022-01-05 08:30:00,3.7,56.0,20.869338685646653,592.9110904024288,0.5460645649316607,0.45,0.5460645649316607,0.45,"[53.00221211320696, 44.15850519205054, 37.27423542483822, 32.08426203253171, 28.310954156744966, 25.667957249498684, 23.882254876173885, 22.71570358821852, 21.976698196258273, 21.521344283445032]",847.3003336224054,0.6743285794140815,0.006302334101160284,0.3119967376812022,0.3119967376812022,0.45,20.869338685646653,0.3119967376812022,0.45,592.9110904024288,0.6743285794140815,19,21,64.09,21
2022-01-05 08:40:00,3.7,61.0,20.86886783130467,597.4356517078054,0.5460645649316607,0.45,0.5460645649316607,0.45,"[53.959310107551026, 45.734175553359584, 39.161970219658926, 34.02163928821945, 30.103442931485958, 27.20017817098708, 25.110678295116607, 23.649260528765918, 22.65461846882332, 21.994685907763934]",955.3992798711328,0.833561792725937,0.00696838398970779,0.34496950444097974,0.34496950444097974,0.45,20.86886783130467,0.34496950444097974,0.45,597.4356517078054,0.833561792725937,19,21,64.09,21
2022-01-05 08:50:00,3.8,60.0,20.869543172535487,600.1831820291469,0.5460645649316607,0.45,0.5460645649316607,0.45,"[54.77947509186796, 47.07145548858164, 40.80138171746543, 35.771262877452585, 31.806073288564757, 28.743649783897705, 26.43060890207406, 24.723439317456556, 23.492108151402796, 22.62360521095246]",1060.5531183928547,1.0103206457914127,0.0076266739394717465,0.377558115815433,0.377558115815433,0.45,20.869543172535487,0.377558115815433,0.45,600.1831820291469,1.0103206457914127,19,21,64.16,21
2022-01-05 09:00:00,4.4,46.0,20.8714510780992,612.6451897619255,0.5460645649316607,0.45,0.5460645649316607,0.45,"[55.67202059159795, 48.318801883483864, 42.27926534870229, 37.35787919037475, 33.391331703452316, 30.237997745936305, 27.770888849145017, 25.874185450617937, 24.44253454205637, 23.381827407531954]",1164.1956874454727,1.2043532603656582,0.008270633283797681,0.4094372912771129,0.4094372912771129,0.45,20.8714510780992,0.4094372912771129,0.45,612.6451897619255,1.2043532603656582,24,21,64.58,21
2022-01-05 09:10:00,4.3,118.0,20.87472149322275,620.2127177054446,0.5460645649316607,0.45,0.5460645649316607,0.45,"[56.262923634011344, 49.33061647773946, 43.54789732546616, 38.760760565202006, 34.83158576789781, 31.638748717365043, 29.07418880465215, 27.04095623481954, 25.451616621901938, 24.22760108682466]",1259.0482200162298,1.4141946303683632,0.008892868143043244,0.44024099718035864,0.44024099718035864,0.45,20.87472149322275,0.44024099718035864,0.45,620.2127177054446,1.4141946303683632,24,21,64.51,21
2022-01-05 09:20:00,4.3,166.0,20.879596953862347,624.808083107547,0.5460645649316607,0.45,0.5460645649316607,0.45,"[56.73885065464451, 50.16103358495547, 44.61906359055239, 39.975544410534084, 36.109618928859796, 32.91480567186199, 30.29701531177655, 28.17266479203438, 26.467107363854396, 25.11353101674192]",1345.1378442162998,1.6383842710710799,0.009484329828681403,0.46952127864759424,0.46952127864759424,0.45,20.879596953862347,0.46952127864759424,0.45,624.808083107547,1.6383842710710799,24,21,64.51,21
2022-01-05 09:30:00,4.1,162.0,20.886347647407092,627.5986090674709,0.5460645649316607,0.45,0.5460645649316607,0.45,"[57.04788993998595, 50.80028357831407, 45.49017910771118, 40.99648282181683, 37.21233343265938, 34.04347942205257, 31.40674043268199, 29.22854684978742, 27.44361809127477, 25.993859995804478]",1420.1942341761808,1.8750833101004434,0.010034496307835298,0.49675724296214346,0.49675724296214346,0.45,20.886347647407092,0.49675724296214346,0.45,627.5986090674709,1.8750833101004434,24,21,64.37,21
2022-01-05 09:40:00,3.6,119.0,20.895078197703697,629.2931500781697,0.5460645649316607,0.45,0.5460645649316607,0.45,"[57.134760858310926, 51.21342378290295, 46.13894480234539, 41.806426636821726, 38.122332284653034, 35.00354989104558, 32.376392064263236, 30.175578011871163, 28.34324483088954, 26.82803871652118]",1481.6581737211184,2.122026339053963,0.010532942300131867,0.521432787135241,0.521432787135241,0.45,20.895078197703697,0.521432787135241,0.45,629.2931500781697,2.122026339053963,24,21,64.02,21
