,time,reference_T_a,reference_T_b
2024-01-02 08:20:00+01:00,2024-01-02 08:20:00+01:00,13.690394502763924,9.593691786173958
2024-01-02 08:30:00+01:00,2024-01-02 08:30:00+01:00,13.967452328621354,9.875247553595445
2024-01-02 08:40:00+01:00,2024-01-02 08:40:00+01:00,14.24526258376329,10.162294152455079
2024-01-02 08:50:00+01:00,2024-01-02 08:50:00+01:00,14.520939964225024,10.44277460880878
2024-01-02 09:00:00+01:00,2024-01-02 09:00:00+01:00,14.181651445664928,10.716853269660422
2024-01-02 09:10:00+01:00,2024-01-02 09:10:00+01:00,13.989133266331256,10.959518748782799
2024-01-02 09:20:00+01:00,2024-01-02 09:20:00+01:00,13.882541717035581,11.1566726678147
2024-01-02 09:30:00+01:00,2024-01-02 09:30:00+01:00,13.830130017420485,11.327429334384735
2024-01-02 09:40:00+01:00,2024-01-02 09:40:00+01:00,13.814508594086675,11.480441648084724
2024-01-02 09:50:00+01:00,2024-01-02 09:50:00+01:00,13.823672271973418,11.624265531023594
2024-01-02 10:00:00+01:00,2024-01-02 10:00:00+01:00,13.848356691429696,11.75962823600617
2024-01-02 10:10:00+01:00,2024-01-02 10:10:00+01:00,13.882577131933308,11.866982988598894
2024-01-02 10:20:00+01:00,2024-01-02 10:20:00+01:00,13.923230700767165,11.95708057568136
2024-01-02 10:30:00+01:00,2024-01-02 10:30:00+01:00,13.969190382343113,12.047765980100033
2024-01-02 10:40:00+01:00,2024-01-02 10:40:00+01:00,14.017380609403018,12.136903518829188
2024-01-02 10:50:00+01:00,2024-01-02 10:50:00+01:00,14.064291348120687,12.221707130061557
2024-01-02 11:00:00+01:00,2024-01-02 11:00:00+01:00,14.109462400896428,12.333520179082267
2024-01-02 11:10:00+01:00,2024-01-02 11:10:00+01:00,14.156582545837601,12.436797433383969
2024-01-02 11:20:00+01:00,2024-01-02 11:20:00+01:00,14.208612194572028,12.542768916287756
2024-01-02 11:30:00+01:00,2024-01-02 11:30:00+01:00,14.262398079728424,12.646948493430918
2024-01-02 11:40:00+01:00,2024-01-02 11:40:00+01:00,14.314654941811872,12.743839293002114
2024-01-02 11:50:00+01:00,2024-01-02 11:50:00+01:00,14.36599343658701,12.82587911947201
2024-01-02 12:00:00+01:00,2024-01-02 12:00:00+01:00,14.414089580203207,12.90495510437947
2024-01-02 12:10:00+01:00,2024-01-02 12:10:00+01:00,14.457206346618722,12.963637498953982
2024-01-02 12:20:00+01:00,2024-01-02 12:20:00+01:00,14.495079432841377,13.011021124772464
2024-01-02 12:30:00+01:00,2024-01-02 12:30:00+01:00,14.528871928291537,13.0470920454526
2024-01-02 12:40:00+01:00,2024-01-02 12:40:00+01:00,14.562605142270122,13.083084578820097
2024-01-02 12:50:00+01:00,2024-01-02 12:50:00+01:00,14.60089095750409,13.144818885013319
2024-01-02 13:00:00+01:00,2024-01-02 13:00:00+01:00,14.64285696699036,13.18388306202739
2024-01-02 13:10:00+01:00,2024-01-02 13:10:00+01:00,14.68333341796106,13.22728227039112
2024-01-02 13:20:00+01:00,2024-01-02 13:20:00+01:00,14.724859949067364,13.253463029844955
2024-01-02 13:30:00+01:00,2024-01-02 13:30:00+01:00,14.768460801134575,13.279467235479332
2024-01-02 13:40:00+01:00,2024-01-02 13:40:00+01:00,14.811239405821278,13.317001048246532
2024-01-02 13:50:00+01:00,2024-01-02 13:50:00+01:00,14.852385824152883,13.351548371891807
2024-01-02 14:00:00+01:00,2024-01-02 14:00:00+01:00,14.891763235938447,13.372915080788486
2024-01-02 14:10:00+01:00,2024-01-02 14:10:00+01:00,14.928440466696083,13.386722121618583
2024-01-02 14:20:00+01:00,2024-01-02 14:20:00+01:00,14.961090393302944,13.404644304439296
2024-01-02 14:30:00+01:00,2024-01-02 14:30:00+01:00,14.988147857161076,13.410538851786796
2024-01-02 14:40:00+01:00,2024-01-02 14:40:00+01:00,15.009354348246664,13.413516217805642
2024-01-02 14:50:00+01:00,2024-01-02 14:50:00+01:00,15.024216456080609,13.410445300820697
2024-01-02 15:00:00+01:00,2024-01-02 15:00:00+01:00,15.031314128210001,13.394392862029177
2024-01-02 15:10:00+01:00,2024-01-02 15:10:00+01:00,15.029929121657135,13.385764678362404
2024-01-02 15:20:00+01:00,2024-01-02 15:20:00+01:00,15.0224934683711,13.370538670793444
2024-01-02 15:30:00+01:00,2024-01-02 15:30:00+01:00,15.012713468648158,13.335124026253352
2024-01-02 15:40:00+01:00,2024-01-02 15:40:00+01:00,14.99713722135117,13.295708263883965
2024-01-02 15:50:00+01:00,2024-01-02 15:50:00+01:00,14.972221478269303,13.243030118962233
2024-01-02 16:00:00+01:00,2024-01-02 16:00:00+01:00,14.943761174180011,13.192177197510293
2024-01-02 16:10:00+01:00,2024-01-02 16:10:00+01:00,14.910592740588243,13.131519262386814
2024-01-02 16:20:00+01:00,2024-01-02 16:20:00+01:00,14.86902331800858,13.062287173991939
2024-01-02 16:30:00+01:00,2024-01-02 16:30:00+01:00,14.818656326135327,12.986498925412764
2024-01-02 16:40:00+01:00,2024-01-02 16:40:00+01:00,14.758334597705446,12.90300512250767
2024-01-02 16:50:00+01:00,2024-01-02 16:50:00+01:00,14.686884927504737,12.802482775922305
2024-01-02 17:00:00+01:00,2024-01-02 17:00:00+01:00,14.603230946243047,12.688868103272151
