Time stamp,outdoorTemperature,globalIrradiation,co2Concentration
2023-01-03 12:00:00+00:00,5.5,79,400
2023-01-03 13:00:00+00:00,5.8,118,400
2023-01-03 14:00:00+00:00,5.4,202,400
2023-01-03 15:00:00+00:00,4.7,181,400
2023-01-03 16:00:00+00:00,3.3,120,400
2023-01-03 17:00:00+00:00,2.4,34,400
2023-01-03 18:00:00+00:00,2,0,400
2023-01-03 19:00:00+00:00,2.6,0,400
2023-01-03 20:00:00+00:00,3.1,0,400
2023-01-03 21:00:00+00:00,3.9,0,400
2023-01-03 22:00:00+00:00,4,0,400
2023-01-03 23:00:00+00:00,4.8,0,400
2023-01-04 00:00:00+00:00,5.1,0,400
2023-01-04 01:00:00+00:00,5.3,0,400
2023-01-04 02:00:00+00:00,5.4,0,400
2023-01-04 03:00:00+00:00,5.4,0,400
2023-01-04 04:00:00+00:00,5.4,0,400
2023-01-04 05:00:00+00:00,5.4,0,400
2023-01-04 06:00:00+00:00,5.7,0,400
2023-01-04 07:00:00+00:00,6,0,400
2023-01-04 08:00:00+00:00,6.2,0,400
2023-01-04 09:00:00+00:00,7,0,400
2023-01-04 10:00:00+00:00,8.4,0,400
2023-01-04 11:00:00+00:00,9,4,400
2023-01-04 12:00:00+00:00,9.3,9,400
2023-01-04 13:00:00+00:00,9.4,21,400
2023-01-04 14:00:00+00:00,9.4,24,400
2023-01-04 15:00:00+00:00,9.4,19,400
2023-01-04 16:00:00+00:00,9.3,14,400
2023-01-04 17:00:00+00:00,8.8,6,400
2023-01-04 18:00:00+00:00,8.7,0,400
2023-01-04 19:00:00+00:00,8.7,0,400
2023-01-04 20:00:00+00:00,8.7,0,400
2023-01-04 21:00:00+00:00,8.6,0,400
2023-01-04 22:00:00+00:00,8.5,0,400
2023-01-04 23:00:00+00:00,8,0,400
2023-01-05 00:00:00+00:00,7.6,0,400
2023-01-05 01:00:00+00:00,7.5,0,400
2023-01-05 02:00:00+00:00,7.5,0,400
2023-01-05 03:00:00+00:00,7,0,400
2023-01-05 04:00:00+00:00,7,0,400
2023-01-05 05:00:00+00:00,6.9,0,400
2023-01-05 06:00:00+00:00,5.3,0,400
2023-01-05 07:00:00+00:00,3.5,0,400
2023-01-05 08:00:00+00:00,3.1,0,400
2023-01-05 09:00:00+00:00,3.1,0,400
2023-01-05 10:00:00+00:00,3.3,2,400
2023-01-05 11:00:00+00:00,3.6,24,400
2023-01-05 12:00:00+00:00,3.9,95,400
2023-01-05 13:00:00+00:00,3.7,173,400
2023-01-05 14:00:00+00:00,3.5,185,400
2023-01-05 15:00:00+00:00,3.5,63,400
2023-01-05 16:00:00+00:00,3.4,36,400
2023-01-05 17:00:00+00:00,3.3,12,400
2023-01-05 18:00:00+00:00,3.1,0,400
2023-01-05 19:00:00+00:00,2.8,0,400
2023-01-05 20:00:00+00:00,1.9,0,400
2023-01-05 21:00:00+00:00,1.4,0,400
2023-01-05 22:00:00+00:00,1.1,0,400
2023-01-05 23:00:00+00:00,1.3,0,400
2023-01-06 00:00:00+00:00,2.3,0,400
2023-01-06 01:00:00+00:00,2.7,0,400
2023-01-06 02:00:00+00:00,3,0,400
2023-01-06 03:00:00+00:00,3.2,0,400
2023-01-06 04:00:00+00:00,3.4,0,400
2023-01-06 05:00:00+00:00,3.7,0,400
2023-01-06 06:00:00+00:00,4.2,0,400
2023-01-06 07:00:00+00:00,4.6,0,400
2023-01-06 08:00:00+00:00,5.7,0,400
2023-01-06 09:00:00+00:00,7.1,0,400
2023-01-06 10:00:00+00:00,7.9,0,400
2023-01-06 11:00:00+00:00,8.3,3,400
2023-01-06 12:00:00+00:00,7.9,15,400
2023-01-06 13:00:00+00:00,8,82,400
2023-01-06 14:00:00+00:00,7.9,110,400
2023-01-06 15:00:00+00:00,7.3,141,400
2023-01-06 16:00:00+00:00,7,82,400
2023-01-06 17:00:00+00:00,6.3,13,400
2023-01-06 18:00:00+00:00,6.2,1,400
2023-01-06 19:00:00+00:00,6.1,0,400
2023-01-06 20:00:00+00:00,6.2,0,400
2023-01-06 21:00:00+00:00,6.4,0,400
2023-01-06 22:00:00+00:00,6.6,0,400
2023-01-06 23:00:00+00:00,6.6,0,400
2023-01-07 00:00:00+00:00,6.6,0,400
2023-01-07 01:00:00+00:00,6.4,0,400
2023-01-07 02:00:00+00:00,6.5,0,400
2023-01-07 03:00:00+00:00,6.4,0,400
2023-01-07 04:00:00+00:00,6.1,0,400
2023-01-07 05:00:00+00:00,5.8,0,400
2023-01-07 06:00:00+00:00,5.7,0,400
2023-01-07 07:00:00+00:00,5.9,0,400
2023-01-07 08:00:00+00:00,6.2,0,400
2023-01-07 09:00:00+00:00,6.8,0,400
2023-01-07 10:00:00+00:00,7.4,1,400
2023-01-07 11:00:00+00:00,8,9,400
2023-01-07 12:00:00+00:00,8.8,18,400
2023-01-07 13:00:00+00:00,9.1,19,400
2023-01-07 14:00:00+00:00,8.9,32,400
2023-01-07 15:00:00+00:00,9,18,400
2023-01-07 16:00:00+00:00,8.8,18,400
2023-01-07 17:00:00+00:00,8.2,8,400
2023-01-07 18:00:00+00:00,8.1,0,400
2023-01-07 19:00:00+00:00,8.4,0,400
2023-01-07 20:00:00+00:00,8.6,0,400
2023-01-07 21:00:00+00:00,8.2,0,400
2023-01-07 22:00:00+00:00,7.9,0,400
2023-01-07 23:00:00+00:00,7.8,0,400
2023-01-08 00:00:00+00:00,7.6,0,400
2023-01-08 01:00:00+00:00,7.5,0,400
2023-01-08 02:00:00+00:00,7.5,0,400
2023-01-08 03:00:00+00:00,7.4,0,400
2023-01-08 04:00:00+00:00,7.4,0,400
2023-01-08 05:00:00+00:00,7.4,0,400
2023-01-08 06:00:00+00:00,7.6,0,400
2023-01-08 07:00:00+00:00,7.4,0,400
2023-01-08 08:00:00+00:00,7.2,0,400
2023-01-08 09:00:00+00:00,7.3,0,400
2023-01-08 10:00:00+00:00,7.3,1,400
2023-01-08 11:00:00+00:00,7.3,14,400
2023-01-08 12:00:00+00:00,7.1,33,400
2023-01-08 13:00:00+00:00,7.3,38,400
2023-01-08 14:00:00+00:00,7.7,31,400
2023-01-08 15:00:00+00:00,7.3,60,400
2023-01-08 16:00:00+00:00,6.5,54,400
2023-01-08 17:00:00+00:00,5.8,22,400
2023-01-08 18:00:00+00:00,5.4,1,400
2023-01-08 19:00:00+00:00,5.5,0,400
2023-01-08 20:00:00+00:00,5.6,0,400
2023-01-08 21:00:00+00:00,5.7,0,400
2023-01-08 22:00:00+00:00,6.2,0,400
2023-01-08 23:00:00+00:00,5.7,0,400
2023-01-09 00:00:00+00:00,5.7,0,400
2023-01-09 01:00:00+00:00,5.2,0,400
2023-01-09 02:00:00+00:00,5,0,400
2023-01-09 03:00:00+00:00,5,0,400
2023-01-09 04:00:00+00:00,5.2,0,400
2023-01-09 05:00:00+00:00,5.2,0,400
2023-01-09 06:00:00+00:00,5.6,0,400
2023-01-09 07:00:00+00:00,5.7,0,400
2023-01-09 08:00:00+00:00,5.5,0,400
2023-01-09 09:00:00+00:00,4.9,0,400
2023-01-09 10:00:00+00:00,5,0,400
2023-01-09 11:00:00+00:00,5.4,6,400
2023-01-09 12:00:00+00:00,6.1,32,400
2023-01-09 13:00:00+00:00,6.1,51,400
2023-01-09 14:00:00+00:00,6.4,83,400
2023-01-09 15:00:00+00:00,5.9,75,400
2023-01-09 16:00:00+00:00,5.4,113,400
2023-01-09 17:00:00+00:00,5,16,400
2023-01-09 18:00:00+00:00,5,1,400
2023-01-09 19:00:00+00:00,5.1,0,400
2023-01-09 20:00:00+00:00,5.2,0,400
2023-01-09 21:00:00+00:00,5.3,0,400
2023-01-09 22:00:00+00:00,5.5,0,400
2023-01-09 23:00:00+00:00,5.6,0,400
2023-01-10 00:00:00+00:00,4.8,0,400
2023-01-10 01:00:00+00:00,4.4,0,400
2023-01-10 02:00:00+00:00,4.1,0,400
2023-01-10 03:00:00+00:00,4.6,0,400
2023-01-10 04:00:00+00:00,5,0,400
2023-01-10 05:00:00+00:00,5.2,0,400
2023-01-10 06:00:00+00:00,5.2,0,400
2023-01-10 07:00:00+00:00,4.5,0,400
2023-01-10 08:00:00+00:00,3.8,0,400
2023-01-10 09:00:00+00:00,4,0,400
2023-01-10 10:00:00+00:00,5.2,3,400
2023-01-10 11:00:00+00:00,6.1,51,400
2023-01-10 12:00:00+00:00,6,119,400
2023-01-10 13:00:00+00:00,6,147,400
2023-01-10 14:00:00+00:00,6,60,400
2023-01-10 15:00:00+00:00,6,56,400
2023-01-10 16:00:00+00:00,5.9,43,400
2023-01-10 17:00:00+00:00,5.8,13,400
2023-01-10 18:00:00+00:00,5.8,0,400
2023-01-10 19:00:00+00:00,5.7,0,400
2023-01-10 20:00:00+00:00,5.4,0,400
2023-01-10 21:00:00+00:00,5.5,0,400
2023-01-10 22:00:00+00:00,5.5,0,400
2023-01-10 23:00:00+00:00,5,0,400
2023-01-11 00:00:00+00:00,4.9,0,400
2023-01-11 01:00:00+00:00,5,0,400
2023-01-11 02:00:00+00:00,5.2,0,400
2023-01-11 03:00:00+00:00,5.7,0,400
2023-01-11 04:00:00+00:00,6.3,0,400
2023-01-11 05:00:00+00:00,6.9,0,400
2023-01-11 06:00:00+00:00,7.5,0,400
2023-01-11 07:00:00+00:00,8.3,0,400
2023-01-11 08:00:00+00:00,8.4,0,400
2023-01-11 09:00:00+00:00,8.3,0,400
2023-01-11 10:00:00+00:00,7.9,1,400
2023-01-11 11:00:00+00:00,7.9,11,400
2023-01-11 12:00:00+00:00,7.6,31,400
2023-01-11 13:00:00+00:00,7.2,83,400
2023-01-11 14:00:00+00:00,7.3,65,400
2023-01-11 15:00:00+00:00,7.6,60,400
2023-01-11 16:00:00+00:00,7,70,400
2023-01-11 17:00:00+00:00,6.5,28,400
2023-01-11 18:00:00+00:00,6.3,1,400
2023-01-11 19:00:00+00:00,6.7,0,400
2023-01-11 20:00:00+00:00,6.7,0,400
2023-01-11 21:00:00+00:00,6.6,0,400
2023-01-11 22:00:00+00:00,6.5,0,400
2023-01-11 23:00:00+00:00,6.4,0,400
2023-01-12 00:00:00+00:00,6.2,0,400
2023-01-12 01:00:00+00:00,6.1,0,400
2023-01-12 02:00:00+00:00,5.7,0,400
2023-01-12 03:00:00+00:00,5.8,0,400
2023-01-12 04:00:00+00:00,5.8,0,400
2023-01-12 05:00:00+00:00,5.4,0,400
2023-01-12 06:00:00+00:00,5.5,0,400
2023-01-12 07:00:00+00:00,5.6,0,400
2023-01-12 08:00:00+00:00,5.9,0,400
2023-01-12 09:00:00+00:00,6,0,400
2023-01-12 10:00:00+00:00,6.4,0,400
2023-01-12 11:00:00+00:00,6.7,6,400
2023-01-12 12:00:00+00:00,7.5,16,400
2023-01-12 13:00:00+00:00,8.5,30,400
2023-01-12 14:00:00+00:00,7.8,56,400
2023-01-12 15:00:00+00:00,7.4,46,400
2023-01-12 16:00:00+00:00,6.8,51,400
2023-01-12 17:00:00+00:00,5.7,11,400
2023-01-12 18:00:00+00:00,5.3,1,400
2023-01-12 19:00:00+00:00,5.9,0,400
2023-01-12 20:00:00+00:00,6.3,0,400
2023-01-12 21:00:00+00:00,6.5,0,400
2023-01-12 22:00:00+00:00,7.6,0,400
2023-01-12 23:00:00+00:00,8.7,0,400
2023-01-13 00:00:00+00:00,8.9,0,400
2023-01-13 01:00:00+00:00,8.3,0,400
2023-01-13 02:00:00+00:00,7.5,0,400
2023-01-13 03:00:00+00:00,7,0,400
2023-01-13 04:00:00+00:00,6.5,0,400
2023-01-13 05:00:00+00:00,6.4,0,400
2023-01-13 06:00:00+00:00,6.7,0,400
2023-01-13 07:00:00+00:00,6.4,0,400
2023-01-13 08:00:00+00:00,6.5,0,400
2023-01-13 09:00:00+00:00,7,0,400
2023-01-13 10:00:00+00:00,7,4,400
2023-01-13 11:00:00+00:00,6.7,19,400
2023-01-13 12:00:00+00:00,6.7,29,400
2023-01-13 13:00:00+00:00,6.6,37,400
2023-01-13 14:00:00+00:00,6.7,36,400
2023-01-13 15:00:00+00:00,6.9,27,400
2023-01-13 16:00:00+00:00,6.7,27,400
2023-01-13 17:00:00+00:00,6.5,27,400
2023-01-13 18:00:00+00:00,6.3,1,400
2023-01-13 19:00:00+00:00,6.5,0,400
2023-01-13 20:00:00+00:00,6.7,0,400
2023-01-13 21:00:00+00:00,6.8,0,400
2023-01-13 22:00:00+00:00,6.9,0,400
2023-01-13 23:00:00+00:00,6.7,0,400
2023-01-14 00:00:00+00:00,6.6,0,400
2023-01-14 01:00:00+00:00,6.5,0,400
2023-01-14 02:00:00+00:00,6.3,0,400
2023-01-14 03:00:00+00:00,6.3,0,400
2023-01-14 04:00:00+00:00,6,0,400
2023-01-14 05:00:00+00:00,5.9,0,400
2023-01-14 06:00:00+00:00,5.8,0,400
2023-01-14 07:00:00+00:00,5.3,0,400
2023-01-14 08:00:00+00:00,5.5,0,400
2023-01-14 09:00:00+00:00,5.7,0,400
2023-01-14 10:00:00+00:00,5.8,2,400
2023-01-14 11:00:00+00:00,5.9,24,400
2023-01-14 12:00:00+00:00,5.9,89,400
2023-01-14 13:00:00+00:00,5.7,94,400
2023-01-14 14:00:00+00:00,5.4,68,400
2023-01-14 15:00:00+00:00,5.3,50,400
2023-01-14 16:00:00+00:00,5.2,16,400
2023-01-14 17:00:00+00:00,5.4,4,400
2023-01-14 18:00:00+00:00,5.8,0,400
2023-01-14 19:00:00+00:00,6.2,0,400
2023-01-14 20:00:00+00:00,6.9,0,400
2023-01-14 21:00:00+00:00,7.5,0,400
2023-01-14 22:00:00+00:00,7.9,0,400
2023-01-14 23:00:00+00:00,6.5,0,400
2023-01-15 00:00:00+00:00,5.7,0,400
2023-01-15 01:00:00+00:00,5.3,0,400
2023-01-15 02:00:00+00:00,5.2,0,400
2023-01-15 03:00:00+00:00,5.3,0,400
2023-01-15 04:00:00+00:00,5.3,0,400
2023-01-15 05:00:00+00:00,5.2,0,400
2023-01-15 06:00:00+00:00,5.4,0,400
2023-01-15 07:00:00+00:00,5.1,0,400
2023-01-15 08:00:00+00:00,5.1,0,400
2023-01-15 09:00:00+00:00,5.2,0,400
2023-01-15 10:00:00+00:00,5.3,2,400
2023-01-15 11:00:00+00:00,5.1,34,400
2023-01-15 12:00:00+00:00,4.6,70,400
2023-01-15 13:00:00+00:00,5,70,400
2023-01-15 14:00:00+00:00,4.1,100,400
2023-01-15 15:00:00+00:00,3.9,65,400
2023-01-15 16:00:00+00:00,4.8,18,400
2023-01-15 17:00:00+00:00,5.3,7,400
2023-01-15 18:00:00+00:00,5.6,0,400
2023-01-15 19:00:00+00:00,5.6,0,400
2023-01-15 20:00:00+00:00,5.1,0,400
2023-01-15 21:00:00+00:00,5.4,0,400
2023-01-15 22:00:00+00:00,4.9,0,400
2023-01-15 23:00:00+00:00,4.6,0,400
2023-01-16 00:00:00+00:00,3.9,0,400
2023-01-16 01:00:00+00:00,4.3,0,400
2023-01-16 02:00:00+00:00,3.8,0,400
2023-01-16 03:00:00+00:00,3.6,0,400
2023-01-16 04:00:00+00:00,3.8,0,400
2023-01-16 05:00:00+00:00,4,0,400
2023-01-16 06:00:00+00:00,4,0,400
2023-01-16 07:00:00+00:00,3.9,0,400
2023-01-16 08:00:00+00:00,3.6,0,400
2023-01-16 09:00:00+00:00,3.9,0,400
2023-01-16 10:00:00+00:00,4.3,4,400
2023-01-16 11:00:00+00:00,4.5,26,400
2023-01-16 12:00:00+00:00,4.7,54,400
2023-01-16 13:00:00+00:00,4.6,84,400
2023-01-16 14:00:00+00:00,4.4,79,400
2023-01-16 15:00:00+00:00,4.2,68,400
2023-01-16 16:00:00+00:00,4.1,64,400
2023-01-16 17:00:00+00:00,4,27,400
2023-01-16 18:00:00+00:00,3.7,2,400
2023-01-16 19:00:00+00:00,3.7,0,400
2023-01-16 20:00:00+00:00,3.8,0,400
2023-01-16 21:00:00+00:00,4.3,0,400
2023-01-16 22:00:00+00:00,4.5,0,400
2023-01-16 23:00:00+00:00,4.4,0,400
2023-01-17 00:00:00+00:00,4.4,0,400
2023-01-17 01:00:00+00:00,3.9,0,400
2023-01-17 02:00:00+00:00,3.9,0,400
2023-01-17 03:00:00+00:00,3.8,0,400
2023-01-17 04:00:00+00:00,3.6,0,400
2023-01-17 05:00:00+00:00,3.1,0,400
2023-01-17 06:00:00+00:00,3,0,400
2023-01-17 07:00:00+00:00,2.5,0,400
2023-01-17 08:00:00+00:00,2,0,400
2023-01-17 09:00:00+00:00,2.1,0,400
2023-01-17 10:00:00+00:00,2.4,3,400
2023-01-17 11:00:00+00:00,1.6,21,400
2023-01-17 12:00:00+00:00,1.3,28,400
2023-01-17 13:00:00+00:00,1.9,31,400
2023-01-17 14:00:00+00:00,2.9,46,400
2023-01-17 15:00:00+00:00,3.3,35,400
2023-01-17 16:00:00+00:00,2.6,57,400
2023-01-17 17:00:00+00:00,1.6,96,400
2023-01-17 18:00:00+00:00,1.4,7,400
2023-01-17 19:00:00+00:00,1.2,0,400
2023-01-17 20:00:00+00:00,1.4,0,400
2023-01-17 21:00:00+00:00,1.3,0,400
2023-01-17 22:00:00+00:00,1.4,0,400
2023-01-17 23:00:00+00:00,1.5,0,400
2023-01-18 00:00:00+00:00,1.6,0,400
2023-01-18 01:00:00+00:00,1.5,0,400
2023-01-18 02:00:00+00:00,1.7,0,400
2023-01-18 03:00:00+00:00,1.4,0,400
2023-01-18 04:00:00+00:00,0.8,0,400
2023-01-18 05:00:00+00:00,0.7,0,400
2023-01-18 06:00:00+00:00,0.7,0,400
2023-01-18 07:00:00+00:00,1.1,0,400
2023-01-18 08:00:00+00:00,1.1,0,400
2023-01-18 09:00:00+00:00,1.4,0,400
2023-01-18 10:00:00+00:00,1.6,2,400
2023-01-18 11:00:00+00:00,1.9,28,400
2023-01-18 12:00:00+00:00,1.9,80,400
2023-01-18 13:00:00+00:00,2.3,79,400
2023-01-18 14:00:00+00:00,2.3,117,400
2023-01-18 15:00:00+00:00,2.1,233,400
2023-01-18 16:00:00+00:00,1.3,132,400
2023-01-18 17:00:00+00:00,0.7,56,400
2023-01-18 18:00:00+00:00,0.5,5,400
2023-01-18 19:00:00+00:00,0.4,0,400
2023-01-18 20:00:00+00:00,0.4,0,400
2023-01-18 21:00:00+00:00,0.6,0,400
2023-01-18 22:00:00+00:00,0.3,0,400
2023-01-18 23:00:00+00:00,0.6,0,400
2023-01-19 00:00:00+00:00,1.4,0,400
2023-01-19 01:00:00+00:00,1.3,0,400
2023-01-19 02:00:00+00:00,1.3,0,400
2023-01-19 03:00:00+00:00,1.5,0,400
2023-01-19 04:00:00+00:00,2,0,400
2023-01-19 05:00:00+00:00,2.1,0,400
2023-01-19 06:00:00+00:00,2.1,0,400
2023-01-19 07:00:00+00:00,1.2,0,400
2023-01-19 08:00:00+00:00,1.8,0,400
2023-01-19 09:00:00+00:00,1.5,0,400
2023-01-19 10:00:00+00:00,1.6,0,400
2023-01-19 11:00:00+00:00,1.6,11,400
2023-01-19 12:00:00+00:00,1.6,17,400
2023-01-19 13:00:00+00:00,2.1,17,400
2023-01-19 14:00:00+00:00,2.3,23,400
2023-01-19 15:00:00+00:00,2.3,33,400
2023-01-19 16:00:00+00:00,2.3,16,400
2023-01-19 17:00:00+00:00,1.5,8,400
2023-01-19 18:00:00+00:00,1,2,400
2023-01-19 19:00:00+00:00,1,0,400
2023-01-19 20:00:00+00:00,1,0,400
2023-01-19 21:00:00+00:00,1,0,400
2023-01-19 22:00:00+00:00,1.2,0,400
2023-01-19 23:00:00+00:00,1.2,0,400
2023-01-20 00:00:00+00:00,0.6,0,400
2023-01-20 01:00:00+00:00,0.1,0,400
2023-01-20 02:00:00+00:00,-0.3,0,400
2023-01-20 03:00:00+00:00,-0.2,0,400
2023-01-20 04:00:00+00:00,-0.2,0,400
2023-01-20 05:00:00+00:00,-0.3,0,400
2023-01-20 06:00:00+00:00,-0.2,0,400
2023-01-20 07:00:00+00:00,0.3,0,400
2023-01-20 08:00:00+00:00,0.3,0,400
2023-01-20 09:00:00+00:00,0.3,0,400
2023-01-20 10:00:00+00:00,0.6,2,400
2023-01-20 11:00:00+00:00,0.8,15,400
2023-01-20 12:00:00+00:00,1.4,43,400
2023-01-20 13:00:00+00:00,2,78,400
2023-01-20 14:00:00+00:00,2.5,85,400
2023-01-20 15:00:00+00:00,2.7,62,400
2023-01-20 16:00:00+00:00,2.5,135,400
2023-01-20 17:00:00+00:00,2.2,22,400
2023-01-20 18:00:00+00:00,2.1,4,400
2023-01-20 19:00:00+00:00,1.3,0,400
2023-01-20 20:00:00+00:00,1.3,0,400
2023-01-20 21:00:00+00:00,1.3,0,400
2023-01-20 22:00:00+00:00,0.8,0,400
2023-01-20 23:00:00+00:00,0.7,0,400
2023-01-21 00:00:00+00:00,0.6,0,400
2023-01-21 01:00:00+00:00,0.3,0,400
2023-01-21 02:00:00+00:00,-0.3,0,400
2023-01-21 03:00:00+00:00,0.2,0,400
2023-01-21 04:00:00+00:00,0.2,0,400
2023-01-21 05:00:00+00:00,0,0,400
2023-01-21 06:00:00+00:00,-0.5,0,400
2023-01-21 07:00:00+00:00,-0.7,0,400
2023-01-21 08:00:00+00:00,-1.1,0,400
2023-01-21 09:00:00+00:00,-0.4,0,400
2023-01-21 10:00:00+00:00,0.7,6,400
2023-01-21 11:00:00+00:00,-0.4,81,400
2023-01-21 12:00:00+00:00,-0.6,148,400
2023-01-21 13:00:00+00:00,-0.2,107,400
2023-01-21 14:00:00+00:00,0.5,111,400
2023-01-21 15:00:00+00:00,1.2,75,400
2023-01-21 16:00:00+00:00,1.3,52,400
2023-01-21 17:00:00+00:00,1,32,400
2023-01-21 18:00:00+00:00,0.9,3,400
2023-01-21 19:00:00+00:00,0.7,0,400
2023-01-21 20:00:00+00:00,0.7,0,400
2023-01-21 21:00:00+00:00,0.6,0,400
2023-01-21 22:00:00+00:00,0.3,0,400
2023-01-21 23:00:00+00:00,0.2,0,400
2023-01-22 00:00:00+00:00,0.1,0,400
2023-01-22 01:00:00+00:00,0,0,400
2023-01-22 02:00:00+00:00,-0.1,0,400
2023-01-22 03:00:00+00:00,-0.8,0,400
2023-01-22 04:00:00+00:00,-1.3,0,400
2023-01-22 05:00:00+00:00,-1.7,0,400
2023-01-22 06:00:00+00:00,-1.4,0,400
2023-01-22 07:00:00+00:00,-1.2,0,400
2023-01-22 08:00:00+00:00,-1.2,0,400
2023-01-22 09:00:00+00:00,-1.4,0,400
2023-01-22 10:00:00+00:00,-1.5,3,400
2023-01-22 11:00:00+00:00,-0.8,20,400
2023-01-22 12:00:00+00:00,-0.5,39,400
2023-01-22 13:00:00+00:00,-0.1,52,400
2023-01-22 14:00:00+00:00,0.5,105,400
2023-01-22 15:00:00+00:00,0.7,118,400
2023-01-22 16:00:00+00:00,0.8,65,400
2023-01-22 17:00:00+00:00,0.6,31,400
2023-01-22 18:00:00+00:00,0.5,3,400
2023-01-22 19:00:00+00:00,0.5,0,400
2023-01-22 20:00:00+00:00,0.6,0,400
2023-01-22 21:00:00+00:00,0.6,0,400
2023-01-22 22:00:00+00:00,0.4,0,400
2023-01-22 23:00:00+00:00,0.3,0,400
2023-01-23 00:00:00+00:00,0.1,0,400
2023-01-23 01:00:00+00:00,0.3,0,400
2023-01-23 02:00:00+00:00,0.3,0,400
2023-01-23 03:00:00+00:00,0.3,0,400
2023-01-23 04:00:00+00:00,0.4,0,400
2023-01-23 05:00:00+00:00,0.4,0,400
2023-01-23 06:00:00+00:00,0.6,0,400
2023-01-23 07:00:00+00:00,0.6,0,400
2023-01-23 08:00:00+00:00,0.6,0,400
2023-01-23 09:00:00+00:00,0.7,0,400
2023-01-23 10:00:00+00:00,1.4,4,400
2023-01-23 11:00:00+00:00,1.9,33,400
2023-01-23 12:00:00+00:00,2.3,53,400
2023-01-23 13:00:00+00:00,2.4,64,400
2023-01-23 14:00:00+00:00,2.5,61,400
2023-01-23 15:00:00+00:00,2.6,58,400
2023-01-23 16:00:00+00:00,2.2,52,400
2023-01-23 17:00:00+00:00,1.5,22,400
2023-01-23 18:00:00+00:00,1.5,1,400
2023-01-23 19:00:00+00:00,1.7,0,400
2023-01-23 20:00:00+00:00,1.9,0,400
2023-01-23 21:00:00+00:00,2,0,400
2023-01-23 22:00:00+00:00,1.9,0,400
2023-01-23 23:00:00+00:00,1.7,0,400
2023-01-24 00:00:00+00:00,1.8,0,400
2023-01-24 01:00:00+00:00,1.7,0,400
2023-01-24 02:00:00+00:00,1.6,0,400
2023-01-24 03:00:00+00:00,1.6,0,400
2023-01-24 04:00:00+00:00,1.8,0,400
2023-01-24 05:00:00+00:00,1.8,0,400
2023-01-24 06:00:00+00:00,1.7,0,400
2023-01-24 07:00:00+00:00,1.4,0,400
2023-01-24 08:00:00+00:00,1.1,0,400
